model,setting,horizon,station,MAE,RMSE,R2,MAPE,spike_MAE,spike_RMSE,spike_recall,n,n_spike
linear,global,1,Huairou,8.723562434356731,17.83512870394486,0.9414168445392604,0.19006306493405026,13.07861973748523,24.64202261768825,0.9504299443601416,5808,1977
linear,global,1,Nongzhanguan,10.498041366414261,19.077141588509107,0.9593967920422841,0.19216535699240525,14.728793618959259,24.9339470321383,0.9482551143200962,5808,2493
linear,global,1,Shunyi,10.030752458519844,18.68326721920836,0.9548147948647197,0.1863298428243855,14.802977588704604,24.945077294951552,0.955114372032801,5808,2317
linear,global,1,Tiantan,10.500897140213937,18.147098120262214,0.9596107078913613,0.2069517598847655,13.725391185939191,21.844498533680852,0.9466395112016294,5808,2455
linear,global,1,Wanliu,10.013871529213981,18.25260522198998,0.956352589491762,0.19376666389917246,13.611153377288037,22.048040497959473,0.9467058329836341,5808,2383
linear,global,1,Wanshouxigong,11.04811509778677,22.548171687940783,0.9477811952413107,0.19440557878995093,15.07845522009808,25.527901293057692,0.9553571428571429,5808,2576
linear,global,6,Aotizhongxin,32.64563873556592,52.24966316022324,0.6587752223608041,0.7185960644773094,41.5526061101791,62.459295326354514,0.8319432860717264,5803,2398
linear,global,6,Changping,28.112669421992546,45.78167907984136,0.6524884457564661,0.7256971511196008,38.22661009970847,56.992833563981556,0.8378378378378378,5803,1998
linear,global,6,Dingling,28.554306715906602,45.22446193625204,0.6789508459213591,0.7016144807525284,38.94328048398195,56.166444999150336,0.8706673564407656,5803,1933
linear,global,6,Dongsi,36.23827477691298,58.482829301882944,0.641292583495372,0.7201165435792144,45.21246023156573,68.50884785825153,0.8784800601956358,5803,2658
linear,global,6,Guanyuan,33.49090399603258,53.082843296245564,0.6658129510898854,0.7137780096422794,41.839828067521445,61.6266213133285,0.8607743449354712,5803,2557
linear,global,6,Gucheng,34.45509093181236,56.75472016010099,0.6509590032583676,0.711070433979984,44.99657108909205,68.9592166572532,0.8169856459330144,5803,2508
linear,global,6,Huairou,27.549539344178875,43.2346522847545,0.6559584062307764,0.6505686519662762,37.90425248790041,55.38083189204485,0.8103186646433991,5803,1977
linear,global,6,Nongzhanguan,34.75164620391094,55.511646254553526,0.6563937615068708,0.6965793210566286,45.14606224883286,67.08643092183011,0.8539911752908143,5803,2493
linear,global,6,Shunyi,32.87344574718748,53.44437863182001,0.6305687497526176,0.6673104071759223,44.373848809136284,68.0755213948567,0.8508430609597925,5803,2313
linear,global,6,Tiantan,32.494327338095594,51.32721595140829,0.6770811781114117,0.7003965877966281,40.961827785080175,60.69702085769505,0.8443991853360489,5803,2455
linear,global,6,Wanliu,32.010653579109764,50.61427263376473,0.6645640174569578,0.6765372139923534,39.77926192481729,59.365296998686425,0.8405371380612673,5803,2383
linear,global,6,Wanshouxigong,35.02147562216628,56.861710687225106,0.6681207063343775,0.7268273743951834,44.21620414271858,67.32617146646945,0.8575310559006211,5803,2576
linear,multi,1,Aotizhongxin,9.50529998064698,16.876338139737044,0.9643793560516167,0.18381718845293576,13.3720294802859,22.127778283997706,0.9545454545454546,5808,2398
linear,multi,1,Changping,10.355476074639101,18.297452209026105,0.9444716475704927,0.23135174286211935,15.780526011317104,25.345828250277865,0.9379379379379379,5808,1998
linear,multi,1,Dingling,10.2417462088845,18.61414284937375,0.9455906657982556,0.23360814957170742,15.77379428174788,25.808198829378604,0.9498189342990171,5808,1933
linear,multi,1,Dongsi,10.646319138445474,19.858733313925196,0.9586155631685208,0.16995706566796018,14.913286991277253,24.32302489199674,0.9616252821670429,5808,2658
linear,multi,1,Guanyuan,10.36755541402118,18.587135448411328,0.9590027428513624,0.18878570853326587,14.135490814316398,22.94783356078915,0.9534610872115761,5808,2557
linear,multi,1,Gucheng,10.20223000029887,19.45047573683431,0.9589821536742906,0.18459177592099368,14.152563429715341,24.37680144870664,0.9517543859649122,5808,2508
linear,multi,1,Huairou,8.868456442494038,17.39578912718191,0.9442674988153523,0.19524264382793008,13.387677284823443,24.276398691875677,0.9504299443601416,5808,1977
linear,multi,1,Nongzhanguan,9.814731894774214,17.56278154734166,0.9655871738619826,0.17449330409200342,13.970904315469545,23.105794196427244,0.9534697152025672,5808,2493
linear,multi,1,Shunyi,9.937311188905364,17.882037758936608,0.9586072173861347,0.18202715593962418,15.05401047108551,23.986625098338642,0.9533880017263703,5808,2317
linear,multi,1,Tiantan,9.775780575991334,16.51150893872169,0.96656314710091,0.18740062330975568,13.089163124100011,20.15895304608588,0.9515274949083503,5808,2455
linear,multi,1,Wanliu,9.202584068308848,16.735859862471884,0.9633051748165503,0.17854559712935358,12.491730274195637,19.945584295006082,0.9601342845153168,5808,2383
linear,multi,1,Wanshouxigong,10.323780459805954,20.91298986096059,0.9550803343730515,0.1750829058891652,14.433217953450932,24.193519303582864,0.9580745341614907,5808,2576
linear,multi,6,Aotizhongxin,30.64802501309684,48.65377102205822,0.7041261498123141,0.6894428111566534,37.68458898829061,56.40456598717862,0.8707256046705588,5803,2398
